	bins_centers	Km_frequency
     -0.792		      0.031
     -0.776		      0.013
     -0.760		      0.026
     -0.744		      0.022
     -0.728		      0.031
     -0.712		      0.035
     -0.696		      0.013
     -0.680		      0.009
     -0.664		      0.013
     -0.648		      0.026
     -0.632		      0.035
     -0.616		      0.066
     -0.600		      0.044
     -0.584		      0.044
     -0.568		      0.022
     -0.552		      0.035
     -0.536		      0.009
     -0.520		      0.035
     -0.504		      0.035
     -0.488		      0.013
     -0.472		      0.026
     -0.456		      0.026
     -0.440		      0.044
     -0.424		      0.000
     -0.408		      0.035
     -0.392		      0.040
     -0.376		      0.048
     -0.360		      0.040
     -0.344		      0.031
     -0.328		      0.066
     -0.312		      0.062
     -0.296		      0.053
     -0.280		      0.062
     -0.264		      0.225
     -0.248		      0.370
     -0.232		      0.859
     -0.216		      1.145
     -0.200		      1.225
     -0.184		      1.273
     -0.168		      1.410
     -0.152		      1.538
     -0.136		      1.771
     -0.120		      2.317
     -0.104		      2.727
     -0.088		      3.181
     -0.072		      3.027
     -0.056		      2.688
     -0.040		      2.185
     -0.024		      2.705
     -0.008		      3.714
      0.008		      0.185
      0.024		      1.115
      0.040		      1.220
      0.056		      1.168
      0.072		      1.075
      0.088		      1.388
      0.104		      1.489
      0.120		      1.621
      0.136		      1.401
      0.152		      1.269
      0.168		      1.154
      0.184		      1.269
      0.200		      1.172
      0.216		      1.309
      0.232		      1.502
      0.248		      1.687
      0.264		      1.599
      0.280		      1.401
      0.296		      1.313
      0.312		      1.229
      0.328		      0.802
      0.344		      0.573
      0.360		      0.480
      0.376		      0.361
      0.392		      0.273
      0.408		      0.282
      0.424		      0.247
      0.440		      0.132
      0.456		      0.128
      0.472		      0.048
      0.488		      0.018
      0.504		      0.040
      0.520		      0.018
      0.536		      0.013
      0.552		      0.013
      0.568		      0.009
      0.584		      0.004
      0.600		      0.000
      0.616		      0.000
      0.632		      0.009
      0.648		      0.004
      0.664		      0.004
      0.680		      0.000
      0.696		      0.009
      0.712		      0.000
      0.728		      0.004
      0.744		      0.004
      0.760		      0.000
      0.776		      0.004
      0.792		      0.000
