	bins_centers	KG_frequency
     -0.297		      0.000
     -0.291		      0.000
     -0.285		      0.000
     -0.279		      0.000
     -0.273		      0.000
     -0.267		      0.000
     -0.261		      0.000
     -0.255		      0.000
     -0.249		      0.000
     -0.243		      0.000
     -0.237		      0.000
     -0.231		      0.000
     -0.225		      0.000
     -0.219		      0.000
     -0.213		      0.000
     -0.207		      0.000
     -0.201		      0.000
     -0.195		      0.000
     -0.189		      0.000
     -0.183		      0.000
     -0.177		      0.000
     -0.171		      0.000
     -0.165		      0.000
     -0.159		      0.000
     -0.153		      0.000
     -0.147		      0.000
     -0.141		      0.000
     -0.135		      0.000
     -0.129		      0.000
     -0.123		      0.000
     -0.117		      0.000
     -0.111		      0.000
     -0.105		      0.000
     -0.099		      0.000
     -0.093		      0.000
     -0.087		      0.000
     -0.081		      0.000
     -0.075		      0.000
     -0.069		      0.000
     -0.063		      0.000
     -0.057		      0.000
     -0.051		      0.000
     -0.045		      0.000
     -0.039		      0.000
     -0.033		      0.000
     -0.027		      0.000
     -0.021		      0.000
     -0.015		      0.000
     -0.009		      0.000
     -0.003		      0.000
      0.003		      0.000
      0.009		      0.000
      0.015		      0.000
      0.021		      0.000
      0.027		      0.000
      0.033		      0.000
      0.039		    166.667
      0.045		      0.000
      0.051		      0.000
      0.057		      0.000
      0.063		      0.000
      0.069		      0.000
      0.075		      0.000
      0.081		      0.000
      0.087		      0.000
      0.093		      0.000
      0.099		      0.000
      0.105		      0.000
      0.111		      0.000
      0.117		      0.000
      0.123		      0.000
      0.129		      0.000
      0.135		      0.000
      0.141		      0.000
      0.147		      0.000
      0.153		      0.000
      0.159		      0.000
      0.165		      0.000
      0.171		      0.000
      0.177		      0.000
      0.183		      0.000
      0.189		      0.000
      0.195		      0.000
      0.201		      0.000
      0.207		      0.000
      0.213		      0.000
      0.219		      0.000
      0.225		      0.000
      0.231		      0.000
      0.237		      0.000
      0.243		      0.000
      0.249		      0.000
      0.255		      0.000
      0.261		      0.000
      0.267		      0.000
      0.273		      0.000
      0.279		      0.000
      0.285		      0.000
      0.291		      0.000
      0.297		      0.000
