	bins_centers	Km_frequency
     -0.792		      0.000
     -0.776		      0.000
     -0.760		      0.000
     -0.744		      0.000
     -0.728		      0.000
     -0.712		      0.000
     -0.696		      0.000
     -0.680		      0.000
     -0.664		      0.000
     -0.648		      0.000
     -0.632		      0.000
     -0.616		      0.000
     -0.600		      0.000
     -0.584		      0.000
     -0.568		      0.000
     -0.552		      0.000
     -0.536		      0.000
     -0.520		      0.000
     -0.504		      0.000
     -0.488		      0.000
     -0.472		      0.000
     -0.456		      0.000
     -0.440		      0.000
     -0.424		      0.000
     -0.408		      0.000
     -0.392		      0.000
     -0.376		      0.000
     -0.360		      0.000
     -0.344		      0.000
     -0.328		      0.000
     -0.312		      0.000
     -0.296		      0.000
     -0.280		      0.000
     -0.264		      0.000
     -0.248		      0.000
     -0.232		      0.000
     -0.216		      0.000
     -0.200		      0.000
     -0.184		      0.000
     -0.168		      0.000
     -0.152		      0.000
     -0.136		      0.000
     -0.120		      0.000
     -0.104		      0.000
     -0.088		      0.000
     -0.072		      0.000
     -0.056		      0.000
     -0.040		      0.000
     -0.024		      0.000
     -0.008		      0.000
      0.008		      0.000
      0.024		      0.000
      0.040		      0.000
      0.056		      0.000
      0.072		      0.000
      0.088		      0.000
      0.104		      0.000
      0.120		      0.000
      0.136		      0.000
      0.152		      0.000
      0.168		      0.000
      0.184		      0.000
      0.200		     62.500
      0.216		      0.000
      0.232		      0.000
      0.248		      0.000
      0.264		      0.000
      0.280		      0.000
      0.296		      0.000
      0.312		      0.000
      0.328		      0.000
      0.344		      0.000
      0.360		      0.000
      0.376		      0.000
      0.392		      0.000
      0.408		      0.000
      0.424		      0.000
      0.440		      0.000
      0.456		      0.000
      0.472		      0.000
      0.488		      0.000
      0.504		      0.000
      0.520		      0.000
      0.536		      0.000
      0.552		      0.000
      0.568		      0.000
      0.584		      0.000
      0.600		      0.000
      0.616		      0.000
      0.632		      0.000
      0.648		      0.000
      0.664		      0.000
      0.680		      0.000
      0.696		      0.000
      0.712		      0.000
      0.728		      0.000
      0.744		      0.000
      0.760		      0.000
      0.776		      0.000
      0.792		      0.000
