	bins_centers	KG_frequency
     -0.297		      0.072
     -0.291		      0.036
     -0.285		      0.048
     -0.279		      0.107
     -0.273		      0.012
     -0.267		      0.036
     -0.261		      0.072
     -0.255		      0.060
     -0.249		      0.084
     -0.243		      0.143
     -0.237		      0.060
     -0.231		      0.179
     -0.225		      0.095
     -0.219		      0.084
     -0.213		      0.119
     -0.207		      0.155
     -0.201		      0.107
     -0.195		      0.095
     -0.189		      0.143
     -0.183		      0.131
     -0.177		      0.215
     -0.171		      0.215
     -0.165		      0.215
     -0.159		      0.298
     -0.153		      0.179
     -0.147		      0.322
     -0.141		      0.298
     -0.135		      0.239
     -0.129		      0.322
     -0.123		      0.346
     -0.117		      0.430
     -0.111		      0.477
     -0.105		      0.597
     -0.099		      0.621
     -0.093		      0.776
     -0.087		      0.776
     -0.081		      0.585
     -0.075		      0.871
     -0.069		      1.134
     -0.063		      1.158
     -0.057		      1.874
     -0.051		      1.719
     -0.045		      2.005
     -0.039		      2.769
     -0.033		      3.545
     -0.027		      4.118
     -0.021		      5.502
     -0.015		      8.426
     -0.009		     11.625
     -0.003		     33.956
      0.003		     25.721
      0.009		      9.298
      0.015		      6.541
      0.021		      5.335
      0.027		      4.512
      0.033		      3.795
      0.039		      2.685
      0.045		      2.853
      0.051		      2.459
      0.057		      1.922
      0.063		      1.659
      0.069		      1.385
      0.075		      1.492
      0.081		      1.182
      0.087		      0.955
      0.093		      0.752
      0.099		      0.895
      0.105		      0.585
      0.111		      0.477
      0.117		      0.513
      0.123		      0.406
      0.129		      0.442
      0.135		      0.358
      0.141		      0.370
      0.147		      0.370
      0.153		      0.406
      0.159		      0.263
      0.165		      0.251
      0.171		      0.275
      0.177		      0.298
      0.183		      0.107
      0.189		      0.060
      0.195		      0.095
      0.201		      0.155
      0.207		      0.072
      0.213		      0.060
      0.219		      0.012
      0.225		      0.000
      0.231		      0.024
      0.237		      0.036
      0.243		      0.012
      0.249		      0.060
      0.255		      0.012
      0.261		      0.024
      0.267		      0.000
      0.273		      0.036
      0.279		      0.000
      0.285		      0.000
      0.291		      0.000
      0.297		      0.000
