bead_types,,,,nonbonded_parameters,,
C1,X4er,1,,0.465,,2.500
C1,SX4er,1,,0.430,,2.060
C1,TX4er,1,,0.395,,1.500
SC1,X4er,1,,0.426,,2.060
SC1,SX4er,1,,0.410,,1.660
SC1,TX4er,1,,0.366,,1.300
TC1,X4er,1,,0.392,,1.506
TC1,SX4er,1,,0.366,,1.300
TC1,TX4er,1,,0.352,,0.850
,,,,,,
C2,X4er,1,,0.470,,2.540
C2,SX4er,1,,0.430,,2.060
C2,TX4er,1,,0.395,,1.500
SC2,X4er,1,,0.430,,2.060
SC2,SX4er,1,,0.410,,1.660
SC2,TX4er,1,,0.365,,1.300
TC2,X4er,1,,0.395,,1.506
TC2,SX4er,1,,0.365,,1.300
TC2,TX4er,1,,0.340,,0.850
 ,,,,,,
C3,X4er,1,,0.470,,2.640
C3,SX4er,1,,0.430,,2.175
C3,TX4er,1,,0.395,,1.584
SC3,X4er,1,,0.430,,2.175
SC3,SX4er,1,,0.410,,1.753
SC3,TX4er,1,,0.365,,1.373
TC3,X4er,1,,0.395,,1.590
TC3,SX4er,1,,0.365,,1.373
TC3,TX4er,1,,0.340,,0.898
,,,,,,
C4,X4er,1,,0.470,,2.680
C4,SX4er,1,,0.430,,2.406
C4,TX4er,1,,0.395,,1.914
SC4,X4er,1,,0.430,,2.402
SC4,SX4er,1,,0.410,,1.981
SC4,TX4er,1,,0.365,,1.608
TC4,X4er,1,,0.395,,1.903
TC4,SX4er,1,,0.365,,1.608
TC4,TX4er,1,,0.340,,1.340
,,,,,,
C5,X4er,1,,0.470,,2.720
C5,SX4er,1,,0.430,,2.442
C5,TX4er,1,,0.395,,1.943
SC5,X4er,1,,0.430,,2.438
SC5,SX4er,1,,0.410,,2.011
SC5,TX4er,1,,0.365,,1.632
TC5,X4er,1,,0.395,,1.931
TC5,SX4er,1,,0.365,,1.632
TC5,TX4er,1,,0.340,,1.360
,,,,,,
C6,X4er,1,,0.470,,2.800
C6,SX4er,1,,0.430,,2.514
C6,TX4er,1,,0.395,,2.000
SC6,X4er,1,,0.430,,2.510
SC6,SX4er,1,,0.410,,2.070
SC6,TX4er,1,,0.365,,1.680
TC6,X4er,1,,0.395,,1.988
TC6,SX4er,1,,0.365,,1.680
TC6,TX4er,1,,0.340,,1.400
,,,,,,
N1,X4er,1,,0.470,,3.450
N1,SX4er,1,,0.430,,3.160
N1,TX4er,1,,0.395,,2.524
SN1,X4er,1,,0.430,,3.160
SN1,SX4er,1,,0.410,,2.655
SN1,TX4er,1,,0.365,,2.188
TN1,X4er,1,,0.395,,2.524
TN1,SX4er,1,,0.365,,2.188
TN1,TX4er,1,,0.340,,1.889
,,,,,,
N2,X4er,1,,0.470,,3.600
N2,SX4er,1,,0.430,,3.320
N2,TX4er,1,,0.395,,2.630
SN2,X4er,1,,0.430,,3.297
SN2,SX4er,1,,0.410,,2.770
SN2,TX4er,1,,0.365,,2.280
TN2,X4er,1,,0.395,,2.634
TN2,SX4er,1,,0.365,,2.280
TN2,TX4er,1,,0.340,,1.970
 ,,,,,,
N3,X4er,1,,0.470,,3.690
N3,SX4er,1,,0.430,,3.380
